College Name,State,College Type,College Size,College Setting,Acceptance Rate,% Financial Need Met,% Students of Color,Fly-in Program,Virtual Tour,Virtual Info Session,CollegeGreenlight Profile,QuestBridge Partner School,Colleges That Change Lives,Early Action Deadline,Early Action II Deadline,Early Decision Deadline,Early Decision II Deadline,Regular Decision Deadline,Application Type,Test Optional Details,Undocumented Students Info
Columbia University,NY,Private,"Medium (2,000 - 15,000)",Urban,5%,100%,67%,https://undergrad.admissions.columbia.edu/ce2,https://undergrad.admissions.columbia.edu/visit/virtual-tours,https://apply.college.columbia.edu/portal/virtual_visit,https://www.collegegreenlight.com/colleges/Columbia-University-in-the-City-of-New-York,https://www.questbridge.org/college-partners/columbia-university,,,,11/1/2020,,1/1/2021,"Common Application,Coalition Application",https://undergrad.admissions.columbia.edu/content/revised-testing-policy-2020-2021,https://undergrad.admissions.columbia.edu/apply/first-year/undocumented-students
Cooper Union for the Advancement of Science and Art,NY,Private,"Small (<2,000)",Urban,16%,99%,68%,,https://cooper.edu/admissions/visit/virtual-tour,,https://www.collegegreenlight.com/colleges/Cooper-Union-for-the-Advancement-of-Science-and-Art,,,,,11/1/2020,,1/5/2021,Common Application,"https://cooper.edu/admissions/facts/faq#:~:text=Applicants%2C%20click%20here.-,What%20tests%20and%20documents%20do%20I%20need%20to%20apply%20to,2021%20and%202022%20entering%20classes.",https://cooper.edu/admissions/admitted-students/international
Cornell University,NY,Private,"Medium (2,000 - 15,000)",Rural,11%,100%,64%,,https://www.cornell.edu/visit/,http://blogs.cornell.edu/admissions/information-session/,https://www.collegegreenlight.com/colleges/Cornell-University,,,,,11/1/2020,,1/2/2021,Common Application,"https://admissions.cornell.edu/news/cornell-university-suspends-actsat-testing-requirement-2021-applicants#:~:text=Cornell%20overall%20has%20not%20planned,test%2Doptional%20admission%20policy%20permanently.&text=live%20near%20or%20attend%20a,they%20did%20in%202019%3B%20and",https://finaid.cornell.edu/apply-aid/daca-undocumented-applicants-and-green-card-applicants
Dartmouth College,NH,Private,"Medium (2,000 - 15,000)",Rural,8%,100%,49%,https://admissions.dartmouth.edu/visit/visitation-programs/dartmouth-bound-summer-program,https://admissions.dartmouth.edu/visit/campus-tours#,https://apply.dartmouth.edu/portal/campus-visit,https://www.collegegreenlight.com/colleges/Dartmouth-College,https://www.questbridge.org/college-partners/dartmouth-college,,,,11/1/2020,,1/2/2021,Common Application,"https://admissions.dartmouth.edu/glossary-term/standardized-testing#:~:text=Dartmouth%20College%20is%20test%20optional%20for%20the%20Class%20of%202025.&text=Testing%20is%20required%2C%20but%20it,Admissions%20in%20evaluating%20an%20application.",https://admissions.dartmouth.edu/glossary-term/undocumented-students
Davidson College,NC,Private,"Small (<2,000)",Suburban,18%,100%,33%,www.davidson.edu/admission-and-financial-aid/plan-visit/open-house-programs/access-davidson,virtualtour.davidson.edu,https://www.davidson.edu/admission-and-financial-aid/plan-visit/tour-and-information-sessions,https://www.collegegreenlight.com/colleges/Davidson-College,https://www.questbridge.org/college-partners/davidson-college,,,,11/15/2020,1/2/2021,1/6/2021,"Common Application,Coalition Application,School Specific Application",https://www.davidson.edu/news/2020/03/30/davidson-college-goes-test-optional-three-year-pilot,https://www.davidson.edu/offices-and-services/diversity-and-inclusion/undocumented-daca-student-resources
Duke University,NC,Private,"Medium (2,000 - 15,000)",Suburban,9%,100%,56%,,https://www.youvisit.com/tour/duke,https://admiss.ugrad.duke.edu/portal/visits,https://www.collegegreenlight.com/colleges/Duke-University,https://www.questbridge.org/college-partners/duke-university,,,,11/2/2020,,1/4/2021,"Common Application,Coalition Application","https://today.duke.edu/2020/06/duke-go-test-optional-2021-admissions#:~:text=As%20the%20COVID%2D19%20pandemic,the%202020%2D21%20academic%20year.",https://studentaffairs.duke.edu/undocumented-students
Emory University,GA,Private,"Medium (2,000 - 15,000)",Suburban,16%,100%,61%,https://apply.emory.edu/core/core.html,https://www.youvisit.com/tour/emoryuniversity/141321?pl=v&m_prompt=1,https://admission.emory.edu/portal/virtualvisit,https://www.cappex.com/colleges/emory-university,https://www.questbridge.org/college-partners/emory-university,,,,11/1/2020,1/1/2021,1/1/2021,"Coalition Application,Common Application","https://apply.emory.edu/apply/first-year/tips/standardized-exam-policies.html#:~:text=SAT%2FACT,test%20policy%20for%20this%20year.",https://studentaid.emory.edu/undergraduate/how-aid-works/undocumented.html
Georgetown University,DC,Private,"Medium (2,000 - 15,000)",Urban,14%,100%,49%,,https://www.youvisit.com/tour/Georgetown%ef%bb%bf,https://uapply.georgetown.edu/portal/virtualsession,https://www.cappex.com/colleges/georgetown-university,,,11/1/2020,,,,1/10/2021,School Specific Application,https://uadmissions.georgetown.edu/flexible-testing-requirements/,https://undocumented.georgetown.edu/
Georgia Institute of Technology (Georgia Tech),GA,Public,"Large (15,000 - 25,000)",Urban,21%,65%,53%,,https://www.gatech.edu/life/virtual-campus-tour,https://admission.gatech.edu/virtual-visit,https://www.cappex.com/colleges/georgia-institute-of-technology-main-campus,,,10/15/2020,,,,1/4/2023,Common Application,https://admission.gatech.edu/first-year/standardized-tests,https://admission.gatech.edu/lawful-presence
Grinnell College,IA,Private,"Small (<2,000)",Rural,23%,100%,49%,www.grinnell.edu/admission/visit/on-campus/programs,www.youvisit.com/tour/grinnell,https://admission.grinnell.edu/portal/campus-visit,https://www.cappex.com/colleges/grinnell-college,https://www.questbridge.org/college-partners/grinnell-college,,,,11/15/2022,1/9/2023,1/15/2021,Common Application,"https://www.grinnell.edu/standardized-testing#:~:text=The%20essay%20component%20of%20both,minimum%20score%20requirements%20for%20admission.&text=Grinnell%20does%20not%20require%20the,to%20submit%20SAT%20II%20scores.",https://www.grinnell.edu/news/grinnells-statement-undocumented-students
