College Name,State,College Type,College Size,College Setting,Acceptance Rate,% Financial Need Met,% Students of Color,Fly-in Program,Virtual Tour,Virtual Info Session,CollegeGreenlight Profile,QuestBridge Partner School,Colleges That Change Lives,Early Action Deadline,Early Action II Deadline,Early Decision Deadline,Early Decision II Deadline,Regular Decision Deadline,Application Type,Test Optional Details,Undocumented Students Info
University of Southern California,CA,Private,"Large (15,000 - 25,000)",Urban,11%,100%,63%,,https://visit.usc.edu/,https://applyto.usc.edu/portal/virtual,https://www.cappex.com/colleges/university-of-southern-california,https://www.questbridge.org/college-partners/university-of-southern-california,,,,,,12/1/2020,Common Application,https://admission.usc.edu/apply/first-year-students/#/checklist,https://dornsife.usc.edu/first-generation-college-students-at-usc/resources/
University of Virginia,VA,Public,"Large (15,000 - 25,000)",Suburban,24%,100%,44%,https://hoosfirstlook.weebly.com/,https://www.uvaguides.org/virtual-tour/,https://apply.undergradadmission.virginia.edu/portal/virtual_info_session,https://www.collegegreenlight.com/colleges/University-of-Virginia-Main-Campus,https://www.questbridge.org/college-partners/university-of-virginia,,11/1/2020,,11/1/2020,,1/1/2021,Common Application,http://uvaapplication.blogspot.com/2020/06/we-are-test-optional-for-students.html,"https://news.virginia.edu/content/uva-announces-all-students-regardless-citizenship-status-are-eligible-enroll#:~:text=Subscribe-,UVA%20Announces%20That%20All%20Students%2C%20Regardless%20of,Status%2C%20Are%20Eligible%20to%20Enroll&text=University%20of%20Virginia%20President,admission%20and%20enrollment%20at%20UVA."
Vanderbilt University,TN,Private,"Medium (2,000 - 15,000)",Urban,9%,100%,56%,https://admissions.vanderbilt.edu/visit/prevu.php,https://admissions.vanderbilt.edu/tour/,https://myappvu.vanderbilt.edu/portal/onlinesession,https://www.collegegreenlight.com/colleges/Vanderbilt-University,https://www.questbridge.org/college-partners/vanderbilt-university,,,,11/1/2020,1/1/2021,1/1/2021,"Coalition Application,Common Application",https://news.vanderbilt.edu/2020/06/19/vanderbilt-announces-new-testing-policies-for-applicants/,https://divinity.vanderbilt.edu/admissions/International%20Students.php
Vassar College,NY,Private,"Medium (2,000 - 15,000)",Rural,24%,100%,45%,https://www.vassar.edu/admissions/vassarview/,https://www.vassar.edu/admissions/visit-us/tour/,https://www.vassar.edu/admissions/visit-us/,https://www.collegegreenlight.com/colleges/Vassar-College,https://www.questbridge.org/college-partners/vassar-college,,,,11/15/2020,1/1/2021,1/1/2021,"Common Application,Coalition Application",https://www.vassar.edu/admissions/,https://www.vassar.edu/admissions/student-faqs/#undocumented
Washington & Lee University,VA,Private,"Small (<2,000)",Rural,19%,100%,21%,https://www.wlu.edu/admissions/visit/dive/,https://www.wlu.edu/admissions/virtual-visit/,https://www.wlu.edu/admissions/virtual-visit/,https://www.collegegreenlight.com/colleges/Washington-and-Lee-University,https://www.questbridge.org/college-partners/washington-and-lee-university,,,,11/1/2020,1/1/2021,1/1/2021,Common Application,https://www.wlu.edu/admissions/applying/deadlines/,https://www.wlu.edu/admissions/scholarships-and-aid/
Washington University in St. Louis,MO,Private,"Medium (2,000 - 15,000)",Suburban,14%,100%,51%,https://admissions.wustl.edu/preview-days/,https://admissions.wustl.edu/visit-washu/virtual-campus-tour/,https://pathway.wustl.edu/portal/campus_visit,https://www.collegegreenlight.com/colleges/Washington-University-in-St-Louis,https://www.questbridge.org/college-partners/washington-university-in-st-louis,,,,11/1/2020,1/2/2021,1/2/2021,"Common Application,Coalition Application","https://admissions.wustl.edu/how-to-apply/fall-2021-applicant-info/#:~:text=Washington%20University%20Announces%20One%2DYear,test%20scores%20when%20they%20apply.",https://admissions.wustl.edu/faqs/what-are-washington-universitys-admissions-policies-toward-undocumented-students/
Wellesley College,MA,"Private,All Women's College","Medium (2,000 - 15,000)",Suburban,22%,100%,63%,https://www.wellesley.edu/admission/visit/opencampus,https://admission.wellesley.edu/portal/campusvisit%20,https://www.wellesley.edu/admission/visit/schedule#informationsessions,https://www.collegegreenlight.com/colleges/Wellesley-College/tuition-and-costs,https://www.questbridge.org/college-partners/wellesley-college,,,,11/1/2020,1/1/2021,1/8/2021,"Common Application,Coalition Application",https://www.wellesley.edu/admission/apply,https://www.wellesley.edu/admission/apply/undocumented
Wesleyan University,CT,Private,"Medium (2,000 - 15,000)",Suburban,16%,100%,46%,https://www.wesleyan.edu/admission/openhouse/tap.html,https://www.wesleyan.edu/admission/videos/campustour.html,https://admission.wesleyan.edu/portal/onlineevent,https://www.cappex.com/colleges/wesleyan-university,https://www.questbridge.org/college-partners/wesleyan-university,,,,11/15/2020,1/1/2021,1/1/2021,"Common Application,Coalition Application",https://www.wesleyan.edu/admission/apply/testing.html,"https://www.wesleyan.edu/admission/apply/undocdaca.html#:~:text=Yes.,U.S.%20citizen%20or%20permanent%20resident."
Williams College,MA,Private,"Medium (2,000 - 15,000)",Rural,13%,100%,51%,https://www.williams.edu/admission-aid/wow/,https://www.youtube.com/watch?v=4XqOJvSwLE0,https://myadmission.williams.edu/portal/virtualinfosession,https://www.collegegreenlight.com/colleges/Williams-College,https://www.questbridge.org/college-partners/williams-college,,,,11/15/2020,,1/1/2021,"Common Application,Coalition Application",https://communications.williams.edu/news-releases/4_6_2020_test_optional/,https://www.williams.edu/admission-aid/apply/daca/
Yale University,CT,Private,"Medium (2,000 - 15,000)",Urban,6%,100%,60%,,https://admissions.yale.edu/virtual-tour,https://admissions.yale.edu/virtual-events,https://www.cappex.com/colleges/yale-university,https://www.questbridge.org/college-partners/yale-university,,11/1/2020,,,,1/2/2021,"Common Application,Coalition Application",https://admissions.yale.edu/standardized-testing,https://oiss.yale.edu/immigration/dacamented-undacamented
