College Name,State,College Type,College Size,College Setting,Acceptance Rate,% Financial Need Met,% Students of Color,Fly-in Program,Virtual Tour,Virtual Info Session,CollegeGreenlight Profile,QuestBridge Partner School,Colleges That Change Lives,Early Action Deadline,Early Action II Deadline,Early Decision Deadline,Early Decision II Deadline,Regular Decision Deadline,Application Type,Test Optional Details,Undocumented Students Info
Oberlin College,OH,Private,"Medium (2,000 - 15,000)",Rural,36%,100%,39%,https://www.oberlin.edu/admissions-and-aid/campus-visits/visit-programs,https://www.oberlin.edu/admissions-and-aid/campus-visits,https://www.oberlin.edu/admissions-and-aid/campus-visits,https://www.collegegreenlight.com/colleges/Oberlin-College,https://www.questbridge.org/college-partners/oberlin-college,,,,11/15/2020,1/2/2021,1/15/2021,"Common Application,Coalition Application",https://www.oberlin.edu/admissions-and-aid/arts-and-sciences/first-year-applicants#app-step-3,"https://www.oberlin.edu/news/admissions-policy-undocumented-students-approved#:~:text=Oberlin%20College%20considers%20undocumented%20students,are%20particularly%20encouraged%20to%20apply."
Occidental College,CA,Private,"Medium (2,000 - 15,000)",Urban,37%,100%,51%,https://www.oxy.edu/admission-aid/multicultural-visit-programs,map.oxy.edu/?id=1103#!t/2000:1,https://admission.oxy.edu/portal/campus-visit,https://www.cappex.com/colleges/occidental-college,,,,,11/15/2020,11/15/2022,1/10/2021,Common Application,https://www.oxy.edu/admission-aid/international-students/application-requirements,https://www.oxy.edu/admission-aid/apply/undocumented-and-daca-students
Pennsylvania State University (Penn State) - Main Campus,PA,Public,"Large (15,000 - 25,000)",Suburban,49%,64%,34%,,https://admissions.psu.edu/pennstate/campuses/university-park/virtualtour/,https://newkensington.psu.edu/academics/2-year-radiological-sciences/incoming-student-information/virtual-information-session,https://www.collegegreenlight.com/colleges/pennsylvania-state-university-main-campus,,,11/1/2020,,,,11/30/2020,Common Application,https://news.psu.edu/story/622605/2020/06/08/academics/satact-scores-optional-summer-or-fall-2021-admission,https://www.vpul.upenn.edu/lacasa/files/UndocumentedFAQs.pdf
Pepperdine University,CA,Private,"Medium (2,000 - 15,000)",Suburban,32%,77%,51%,,https://seaver.pepperdine.edu/about/visit/virtual/,https://gsep.pepperdine.edu/admission/information-meetings/,https://www.cappex.com/colleges/pepperdine-university,,,,,,,1/15/2021,Common Application,"https://seaver.pepperdine.edu/admission/application/undergraduate/requirements/sat-act.htm#:~:text=Pepperdine%20is%20test%20optional%20for,through%20our%20test%20score%20form.",https://community.pepperdine.edu/seaver/sfa/sfa-daca.htm
Pratt Institute,NY,Private,,Urban,49%,60%,45%,,https://www.pratt.edu/the-institute/visit-pratt/tour-the-campus/,https://www.pratt.edu/admissions/visiting-pratt/visit-undergrad/information-sessions/,https://www.cappex.com/colleges/pratt-institute-main,,,11/10/2021,,,,3/31/2022,School Specific Application,,
Providence College,RI,Private,"Medium (2,000 - 15,000)",Suburban,47%,87%,23%,,https://map.providence.edu/?id=266#!sbc/?bm/?t/2167:1,https://ugapply.providence.edu/portal/virtual-info-sessions,https://www.collegegreenlight.com/colleges/Providence-College,,,11/1/2020,,1/15/2021,,1/15/2021,Common Application,"https://admission.providence.edu/apply/standardized-testing/#:~:text=Test%2DOptional%20Policy,%2C%20without%20penalty%2C%20for%20admission.",
Purdue University - Main Campus,IN,Public,"Large (15,000 - 25,000)",Suburban,49%,77%,37%,,https://www.admissions.purdue.edu/visit/virtualtour.php,https://www.purdue.edu/niso/services/info.html,https://www.cappex.com/colleges/purdue-university-main-campus,,,11/1/2022,1/15/2023,,,1/15/2023,"Common Application,Coalition Application","https://www.admissions.purdue.edu/apply/criteriafreshmen.php#:~:text=We%20accept%20the%20SAT%20or,SAT%20Essay%20or%20ACT%20Writing.&text=School%20codes%20for%20Purdue%20West,%E2%80%93%201230%3B%20SAT%20%E2%80%93%201631.",https://www.purdue.edu/lcc/resources/daca/index.php
Reed College,OR,Private,"Small (<2,000)",Suburban,39%,100%,41%,https://www.reed.edu/apply/rome.html,www.youtube.com/watch?v=K-rd69yZw_w,https://apply.reed.edu/portal/virtual_session,https://www.collegegreenlight.com/colleges/Reed-College,,https://ctcl.org/reed-college/,,,11/15/2020,12/20/2020,1/15/2021,"Common Application,Coalition Application","https://www.reed.edu/apply/guide-to-applying/index.html#:~:text=Testing%20Requirements,(IB)%2C%20are%20optional.",https://www.reed.edu/diversity/resources/immigration-undocumented.html
Rensselaer Polytechnic Institute,NY,Private,"Medium (2,000 - 15,000)",Suburban,47%,82%,53%,https://admissions.rpi.edu/STAR/,https://www.youvisit.com/tour/rpi,https://apply-undergrad.rpi.edu/portal/infosession,https://www.collegegreenlight.com/colleges/Rensselaer-Polytechnic-Institute,,,,,11/15/2020,12/15/2020,1/15/2021,Common Application,"https://admissions.rpi.edu/undergraduate#:~:text=Rensselaer%20Adopts%20Test%2DOptional%20Admissions,submit%20SAT%20or%20ACT%20scores.",
Rhode Island School of Design,RI,Private,"Medium (2,000 - 15,000)",Urban,26%,72%,73%,,https://campustours.com/college/217493/Rhode-Island-School-of-Design/,https://www.risd.edu/admissions/first-year/online-info-sessions/,https://www.collegegreenlight.com/colleges/Rhode-Island-School-of-Design,,,,,11/1/2020,,2/1/2021,Common Application,"https://www.risd.edu/news/stories/test-scores-now-optional/#:~:text=Test%20Scores%20Now%20Optional,submit%20SAT%20and%20ACT%20scores.&text=Applicants%20who%20are%20homeschooled%20or,picture%20of%20their%20academic%20history.",https://www.risd.edu/news/stories/upholding-the-daca-dream/
